AD_Org_ID[Name],Value,Name,Description,IsActive
*,2021-143901,Facilities Manager,141,Y
*,2021-143902,Cleaning Services Manager,142,Y
*,2021-143903,Boarding Kennel or Cattery Manager,143,Y
*,2021-143904,Security Services Manager,144,Y
*,2021-143905,Call or Contact Centre Manager,145,Y
*,2021-143906,Caravan Park and Camping Ground Manager,146,Y
*,2021-143907,Dockmaster,147,Y
*,2021-143908,Travel Accommodation Inspector,148,Y
*,2021-143909,Travel Agency Manager,149,Y
*,2021-211101,Physicist,150,Y
*,2021-211201,Meteorologist,151,Y
*,2021-211205,Climate Change Scientist,152,Y
*,2021-211301,Chemist,153,Y
*,2021-211302,Manufacturing Research Chemist,154,Y
*,2021-211401,Geologist,155,Y
*,2021-211402,Geophysicist,156,Y
*,2021-211403,Materials Scientist,157,Y
*,2021-211404,Gemologist,158,Y
*,2021-211405,Mineralogist,159,Y
*,2021-211406,Hydrologist,160,Y
*,2021-211407,Oceanographer,161,Y
*,2021-212101,Actuary,162,Y
*,2021-212102,Mathematician,163,Y
*,2021-212103,Statistician,164,Y
*,2021-213101,Animal Behaviourist,165,Y
*,2021-213102,General Biologist,166,Y
*,2021-213103,Anatomist or Physiologist,167,Y
*,2021-213104,Biochemist,168,Y
*,2021-213105,Biotechnologist,169,Y
*,2021-213106,Botanist,170,Y
*,2021-213107,Marine Biologist,171,Y
*,2021-213108,Microbiologist,172,Y
*,2021-213109,Zoologist,173,Y
*,2021-213110,Medical Scientist,174,Y
*,2021-213111,Pharmaceutical Physician,175,Y
*,2021-213201,Agriculture Consultant,176,Y
*,2021-213202,Agricultural Scientist,177,Y
*,2021-213203,Forest Scientist,178,Y
*,2021-213204,Wine Maker,179,Y
*,2021-213205,Food and Beverage Scientist,180,Y
*,2021-213301,Conservation Scientist,181,Y
*,2021-213302,Environmental Scientist,182,Y
*,2021-213304,Earth and Soil Scientist,183,Y
*,2021-213305,Air Quality Analyst,184,Y
*,2021-213306,Water Quality Analyst,185,Y
*,2021-213307,Park Ranger,186,Y
*,2021-213308,Brownfield Redevelopment Specialist,187,Y
*,2021-213309,Toxicologist,188,Y
*,2021-213310,Biodiversity Planner ,189,Y
*,2021-214101,Industrial Engineer,190,Y
*,2021-214102,Industrial Engineering Technologist,191,Y
*,2021-214103,Production Engineer,192,Y
*,2021-214104,Production Engineering Technologist,193,Y
*,2021-214105,Energy Efficiency Manager,194,Y
*,2021-214201,Civil Engineer,195,Y
*,2021-214202,Civil Engineering Technologist,196,Y
*,2021-214301,Environmental Engineer,197,Y
*,2021-214302,Environmental Impact and Restoration Analyst,198,Y
*,2021-214401,Mechanical Engineer,199,Y
*,2021-214402,Mechanical Engineering Technologist,200,Y
*,2021-214403,Aeronautical Engineer,201,Y
*,2021-214404,Aeronautical Engineering Technologist,202,Y
*,2021-214405,Naval Architect,203,Y
*,2021-214406,Marine Engineering Technologist,204,Y
*,2021-214407,Defence Industry Armament Engineer,205,Y
*,2021-214408,Defence Industry Armament Engineering Technologist,206,Y
*,2021-214501,Chemical Engineer,207,Y
*,2021-214502,Chemical Engineering Technologist,208,Y
*,2021-214503,Explosives and Dangerous Goods Inspector,209,Y
*,2021-214601,Mining Engineer ,210,Y
*,2021-214602,Mining Engineering Technologist,211,Y
*,2021-214603,Metallurgical Engineer,212,Y
*,2021-214604,Metallurgical Engineering Technologist,213,Y
*,2021-214605,Metallurgist,214,Y
*,2021-214607,Petroleum Engineer,215,Y
*,2021-214901,Biomedical Engineer,216,Y
*,2021-214902,Explosive Ordnance Engineer,217,Y
*,2021-214903,Marine Salvage Engineer,218,Y
*,2021-214904,Quantity Surveyor,219,Y
*,2021-214905,Agricultural Engineer,220,Y
*,2021-214906,Agricultural Engineering Technologist,221,Y
*,2021-214907,Materials Engineer,222,Y
*,2021-214908,Materials Engineering Technologist,223,Y
*,2021-214909,Microsystems Engineers,224,Y
*,2021-215101,Electrical Engineer,225,Y
*,2021-215102,Electrical Engineering Technologist,226,Y
*,2021-215103,Energy Engineer,227,Y
*,2021-215104,Energy Engineering Technologist,228,Y
*,2021-215201,Electronics Engineer,229,Y
*,2021-215202,Electronics Engineering Technologist,230,Y
*,2021-215301,Telecommunications Engineer,231,Y
*,2021-215302,Telecommunications Engineering Technologist,232,Y
*,2021-215303,Telecommunications Network Engineer,233,Y
*,2021-215304,Telecommunications Field Engineer,234,Y
*,2021-216101,Architect,235,Y
*,2021-216201,Landscape Architect,236,Y
*,2021-216301,Fashion Designer,237,Y
*,2021-216302,Industrial Designer,238,Y
*,2021-216303,Jewellery Designer,239,Y
*,2021-216304,Footwear Designer,240,Y
*,2021-216401,Urban and Regional Planner,241,Y
*,2021-216402,Transport Analyst,242,Y
*,2021-216403,Marine Spatial Planner,243,Y
*,2021-216501,Cartographer,244,Y
*,2021-216502,Surveyor,245,Y
*,2021-216601,Digital Artist,246,Y
*,2021-216602,Illustrator,247,Y
*,2021-216603,Multimedia Designer,248,Y
*,2021-216604,Web Designer,249,Y
*,2021-221101,General Medical Practitioner,250,Y
*,2021-221102,Resident Medical Officer,251,Y
*,2021-221103,Public Health Physician,252,Y
*,2021-221201,Anaesthetist,253,Y
*,2021-221202,Cardiologist,254,Y
*,2021-221203,Emergency Medicine Specialist,255,Y
*,2021-221204,Obstetrician and Gynaecologist,256,Y
*,2021-221205,Ophthalmologist,257,Y
*,2021-221206,Paediatrician,258,Y
*,2021-221207,Pathologist,259,Y
*,2021-221208,Psychiatrist,260,Y
*,2021-221209,Radiologist,261,Y
*,2021-221210,General Medicine Specialist Physician,262,Y
*,2021-221211,Surgeon,263,Y
*,2021-221212,Forensic Pathologist,264,Y
*,2021-221213,Radiation Oncologist,265,Y
*,2021-221214,Nuclear Medicine Specialist,266,Y
*,2021-221215,Family Physician,267,Y
*,2021-221216,Neurologist,268,Y
*,2021-221217,Clinical Pharmacologist,269,Y
*,2021-221218,Medical Geneticist,270,Y
*,2021-221219,Plastic and Reconstructive Surgeon,271,Y
*,2021-221220,Urologist,272,Y
*,2021-221221,Public Health Medicine Specialist,273,Y
*,2021-221222,Public Health Occupational Medicine Specialist ,274,Y
*,2021-221223,Paediatric Surgeon,275,Y
*,2021-221224,Orthopaedic Surgeon,276,Y
*,2021-221225,Neurosurgeon,277,Y
*,2021-221226,Otorhinolaryngologist,278,Y
*,2021-221227,Dermatologist,279,Y
*,2021-222101,Clinical Nurse Practitioner,280,Y
*,2021-222102,Aged Care Registered Nurse,281,Y
*,2021-222103,Registered Nurse (Child and Family Health),282,Y
*,2021-222104,Registered Nurse (Community Health),283,Y
*,2021-222105,Registered Nurse (Critical Care and Emergency),284,Y
*,2021-222106,Registered Nurse (Developmental Disability),285,Y
*,2021-222107,Registered Nurse (Disability and Rehabilitation),286,Y
*,2021-222108,Registered Nurse (Medical),287,Y
*,2021-222109,Registered Nurse (Medical Practice),288,Y
*,2021-222110,Registered Nurse (Mental Health),289,Y
*,2021-222111,Registered Nurse (Operating theatre),290,Y
*,2021-222112,Registered Nurse (Surgical),291,Y
*,2021-222113,Paediatrics Nurse,292,Y
*,2021-222114,Nurse Educator,293,Y
*,2021-222115,Nurse Researcher,294,Y
*,2021-222116,Nurse Manager,295,Y
*,2021-222117,Midwife,296,Y
*,2021-223101,Acupuncturist,297,Y
*,2021-223102,Ayurvedic Practitioner,298,Y
*,2021-223103,Homoeopath,299,Y
*,2021-223104,Naturopath,300,Y
*,2021-223105,Traditional African Medicine Practitioner,301,Y
*,2021-223106,Traditional Chinese Medicine Practitioner,302,Y
*,2021-223107,Phytotherapist,303,Y
*,2021-224101,Paramedical Practitioner,304,Y
*,2021-224102,Sports Scientist,305,Y
*,2021-225101,Veterinarian,306,Y
*,2021-225102,Veterinary Public Health Professional / Practitioner,307,Y
*,2021-225103,Livestock Inspector,308,Y
*,2021-226101,Dental Specialist,309,Y
*,2021-226102,Dentist,310,Y
*,2021-226201,Hospital Pharmacist,311,Y
*,2021-226202,Industrial Pharmacist,312,Y
*,2021-226203,Retail Pharmacist,313,Y
*,2021-226204,Authorised Pharmacist Prescriber,314,Y
*,2021-226301,Environmental Health Officer,315,Y
*,2021-226302,"Safety, Health, Environment and Quality (SHE&Q) Practitioner",316,Y
*,2021-226303,Ergonomist,317,Y
*,2021-226304,Food Inspector,318,Y
*,2021-226401,Physiotherapist,319,Y
*,2021-226501,Dietitian,320,Y
*,2021-226502,Nutritionist,321,Y
*,2021-226601,Audiologist,322,Y
*,2021-226602,Speech Pathologist,323,Y
*,2021-226603,Speech Therapist and Audiologist,324,Y
*,2021-226604,Hearing Aid Acousticians,325,Y
*,2021-226701,Optometrist,326,Y
*,2021-226702,Orthoptist,327,Y
*,2021-226901,Arts Therapist,328,Y
*,2021-226902,Occupational Therapist,329,Y
*,2021-226903,Podiatrist,330,Y
*,2021-226904,Diversional Therapist,331,Y
*,2021-226905,Biokineticist,332,Y
*,2021-226906,Rheumatologist,333,Y
*,2021-231101,University Lecturer,334,Y
*,2021-231102,University Tutor,335,Y
*,2021-232130,TVET Educator,336,Y
*,2021-232131,Adult Education Teacher,337,Y
*,2021-232132,College Lecturer,338,Y
*,2021-233107,FET Phase School Teacher (Grades 10-12),339,Y
*,2021-233108,Senior Phase School Teacher (Grades 7 - 9),340,Y
*,2021-234101,Foundation Phase School Teacher,341,Y
*,2021-234102,Intermediate Phase School Teacher (Grades 4-6),342,Y
*,2021-234201,Early Childhood Development Practitioner,343,Y
*,2021-235101,Education or Training Advisor,344,Y
*,2021-235102,Education or Training Reviewer,345,Y
*,2021-235201,Special Needs Teacher,346,Y
*,2021-235401,Private Tuition Music Teacher,347,Y
*,2021-235501,Private Tuition Art Teacher,348,Y
*,2021-235502,Private Tuition Dance Teacher,349,Y
*,2021-235503,Private Tuition Drama Teacher,350,Y
*,2021-235601,ICT Trainer,351,Y
*,2021-235901,Private Tuition Dressmaking Teacher,352,Y
*,2021-235902,Private Tuition Handicrafts Teacher,353,Y
*,2021-235903,School Laboratory Technician,354,Y
*,2021-235904,Examination Supervisor,355,Y
*,2021-241101,General Accountant,356,Y
*,2021-241102,Management Accountant,357,Y
*,2021-241103,Tax Professional,358,Y
*,2021-241104,External Auditor,359,Y
*,2021-241106,Accountant in Practice,360,Y
*,2021-241107,Financial Accountant,361,Y
*,2021-241108,Forensic Accountant,362,Y
*,2021-241201,Investment Analyst,363,Y
*,2021-241202,Investment Manager,364,Y
*,2021-241203,Investment Advisor,365,Y
*,2021-241204,Financial Markets Practitioner,366,Y
*,2021-241205,Professional Principal Executive Officer,367,Y
*,2021-241301,Financial Investment Advisor,368,Y
*,2021-242101,Management Consultant,369,Y
*,2021-242102,Organisation and Methods Analyst,370,Y
*,2021-242103,Business Development Officer,371,Y
*,2021-242104,AML Surveillance Analyst,372,Y
*,2021-242201,Intelligence Officer,373,Y
*,2021-242202,Policy Analyst,374,Y
*,2021-242203,Company Secretary,375,Y
*,2021-242204,Corporate Treasurer,376,Y
*,2021-242207,Compliance Officer,377,Y
*,2021-242208,Organisational Risk Manager,378,Y
*,2021-242209,Accounting Officer,379,Y
*,2021-242210,Business Administrator,380,Y
*,2021-242211,Internal Auditor,381,Y
*,2021-242212,Diplomat ,382,Y
*,2021-242213,Regulatory Affairs Officer,383,Y
*,2021-242214,Intellectual Property Special Advisor,384,Y
*,2021-242215,Fraud Examiner,385,Y
*,2021-242301,Career Development Practitioner,386,Y
*,2021-242302,Skills Development Practitioner,387,Y
*,2021-242303,Human Resource Advisor,388,Y
*,2021-242304,Industrial Relations Advisor,389,Y
*,2021-242305,Occupational Analyst,390,Y
*,2021-242306,Labour Market Analyst,391,Y
*,2021-242307,Recreation Officer,392,Y
*,2021-242401,Training and Development Professional,393,Y
*,2021-242402,Occupational Instructor ,394,Y
*,2021-242403,Assessment Practitioner,395,Y
*,2021-242404,Student Support Service Officer,396,Y
*,2021-243101,Advertising Specialist,397,Y
*,2021-243102,Market Research Analyst,398,Y
*,2021-243103,Marketing Practitioner,399,Y
*,2021-243104,Market Campaign Analyst,400,Y
*,2021-243201,Communication Coordinator,401,Y
*,2021-243202,Communication Strategist,402,Y
*,2021-243203,Corporate Communication Manager,403,Y
*,2021-243204,Event Producer,404,Y
*,2021-243301,Industrial Products Sales Representative ,405,Y
*,2021-243302,Medical and Pharmaceutical Products Sales Representative ,406,Y
*,2021-243303,Educational Products and Services Sales Representative ,407,Y
*,2021-243304,Printing and Publishing Equipment Sales Representative,408,Y
*,2021-243401,ICT Account Manager,409,Y
*,2021-243402,ICT Business Development Manager,410,Y
*,2021-243403,ICT Sales Representative,411,Y
*,2021-251101,ICT Systems Analyst,412,Y
*,2021-251102,Data Scientist ,413,Y
*,2021-251201,Software Developer,414,Y
*,2021-251202,Programmer Analyst,415,Y
*,2021-251203,Developer Programmer,416,Y
*,2021-251301,Multimedia Specialist,417,Y
*,2021-251302,Web Developer,418,Y
*,2021-251401,Applications Programmer,419,Y
*,2021-251901,Computers Quality Assurance Analyst,420,Y
*,2021-252101,Database Designer and Administrator,421,Y
*,2021-252201,Systems Administrator,422,Y
*,2021-252301,Computer Network and Systems Engineer,423,Y
*,2021-252302,Network Analyst,424,Y
*,2021-252303,`Transmission Engineer,425,Y
*,2021-252901,ICT Security Specialist,426,Y
*,2021-252902,Technical ICT Support Services Manager,427,Y
*,2021-261101,Attorney,428,Y
*,2021-261102,Administrative Lawyer,429,Y
*,2021-261103,Patent Attorney,430,Y
*,2021-261104,Trade Mark Attorney,431,Y
*,2021-261105,Tribunal Member,432,Y
*,2021-261106,Advocate,433,Y
*,2021-261107,Legal Manager,434,Y
*,2021-261201,Judge,435,Y
*,2021-261202,Magistrate,436,Y
*,2021-261901,Adjudicator,437,Y
*,2021-261902,Legislation Facilitator,438,Y
*,2021-261903,Master of The Court,439,Y
*,2021-261904,Family Court Registrar,440,Y
*,2021-261905,Notary,441,Y
*,2021-262101,Archivist,442,Y
*,2021-262102,Gallery or Museum Curator,443,Y
*,2021-262103,Conservator,444,Y
*,2021-262201,Librarian,445,Y
*,2021-262202,Information Services Manager,446,Y
*,2021-263101,Economist,447,Y
*,2021-263102,Economic Reasearch Manager,448,Y
*,2021-263201,Anthropologist,449,Y
*,2021-263202,Archaeologist,450,Y
*,2021-263203,Geographer,451,Y
*,2021-263204,Sociologist,452,Y
*,2021-263205,Criminologist,453,Y
*,2021-263206,Heritage Consultant,454,Y
*,2021-263301,Genealogist,455,Y
*,2021-263302,Historian,456,Y
*,2021-263303,Prehistorian,457,Y
*,2021-263304,Political Scientist,458,Y
*,2021-263401,Clinical Psychologist,459,Y
*,2021-263402,Educational Psychologist,460,Y
*,2021-263403,Organisational Psychologist,461,Y
*,2021-263404,Psychotherapist,462,Y
*,2021-263405,Research Psychologist,463,Y
*,2021-263406,Sport Psychologist,464,Y
*,2021-263407,Counselling Psychologist,465,Y
*,2021-263408,Community Psychologist,466,Y
*,2021-263409,Psychometrician,467,Y
*,2021-263501,Social Counselling Worker,468,Y
*,2021-263502,Addictions Counsellor,469,Y
*,2021-263503,Marriage and Family Counsellor,470,Y
*,2021-263504,Rehabilitation Counsellor,471,Y
*,2021-263505,Student Counsellor,472,Y
*,2021-263506,Probation Social Worker,473,Y
*,2021-263507,Adoption Social Worker,474,Y
*,2021-263508,Child and Youth Care Worker,475,Y
*,2021-263509,Parole Board Member,476,Y
*,2021-263510,Employee Wellness Practitioner,477,Y
*,2021-263511,Career Councillor,478,Y
*,2021-263512,Community Development Practitioner,479,Y
*,2021-263601,Minister of Religion,480,Y
*,2021-264101,Author,481,Y
*,2021-264102,Book or Script Editor,482,Y
*,2021-264103,Technical Writer,483,Y
*,2021-264201,Copywriter,484,Y
*,2021-264202, Editor,485,Y
*,2021-264203,Journalist,486,Y
*,2021-264204,Radio Journalist,487,Y
*,2021-264205,Content Presenter,488,Y
*,2021-264206,Critic,489,Y
*,2021-264301,Interpreter,490,Y
*,2021-264302,Translator,491,Y
*,2021-264303,Linguist,492,Y
*,2021-265101,Painter (Visual Arts),493,Y
*,2021-265102,Potter or Ceramic,494,Y
*,2021-265103,Sculptor,495,Y
*,2021-265104,Ephemeral Artist,496,Y
*,2021-265201,Composer,497,Y
*,2021-265202,Music Director,498,Y
*,2021-265203,Musician (Instrumental),499,Y
*,2021-265204,Singer,500,Y
*,2021-265205,Music Researcher,501,Y
*,2021-265206,Music Copyist,502,Y
*,2021-265301,Dancer or Choreographer,503,Y
*,2021-265401,"Director (Film, Television, Radio or Stage)",504,Y
*,2021-265402,Director of Photography,505,Y
*,2021-265403,Film and Video Editor,506,Y
*,2021-265404,Program Director (Television or Radio),507,Y
*,2021-265405,Technical Director,508,Y
*,2021-265406,Video Producer,509,Y
*,2021-265407,Police Video Unit Manager and Producer,510,Y
*,2021-265408,Casting Director,511,Y
*,2021-265409,Film and Television Production Manager,512,Y
*,2021-265410,Radio or Television Programme Organiser,513,Y
*,2021-265411,Location Manager (Film or Television),514,Y
*,2021-265412,Media Producer,515,Y
*,2021-265501,Actor,516,Y
*,2021-265601,Radio Presenter,517,Y
*,2021-265602,Television Presenter,518,Y
*,2021-265901,Entertainer or Variety Artist,519,Y
*,2021-265902,Hypnotist,520,Y
*,2021-265903,Public Speaker,521,Y
*,2021-265904,Community Arts Worker,522,Y
*,2021-311101,Chemistry Technician,523,Y
*,2021-311102,Physical Science Technician,524,Y
*,2021-311103,Fragrance Evaluators/ flavourists,525,Y
*,2021-311104,Radiation Control/ Nuclear Monitoring Technician,526,Y
*,2021-311201,Civil Engineering Technician,527,Y
*,2021-311202,Surveying or Cartographic Technician,528,Y
*,2021-311203,Town Planning Technician,529,Y
*,2021-311217,Water Control Officer,530,Y
*,2021-311301,Electrical Engineering Technician,531,Y
*,2021-311302,Electric Substation Operations Manager,532,Y
*,2021-311303,Energy Efficiency Technician,533,Y
*,2021-311401,Electronic Engineering Technician,534,Y
*,2021-311501,Mechanical Engineering Technician,535,Y
*,2021-311502,Pressure Equipment  Inspector,536,Y
*,2021-311503,Aeronautical Engineering Technician,537,Y
*,2021-311601,Chemical Engineering Technician,538,Y
*,2021-311701,Mining Technician,539,Y
*,2021-311702,Metallurgical or Materials Technician,540,Y
*,2021-311703,Non-Destructive Testing Technician  (NDTT),541,Y
*,2021-311704,Geophysical Technician,542,Y
*,2021-311801,Draughtsperson,543,Y
*,2021-311901,"Forensic Technician (Biology, Toxicology)",544,Y
*,2021-311902,Fire Investigator,545,Y
*,2021-311903,Food and Beverage Technician,546,Y
*,2021-311904,Manufacturing Technician,547,Y
*,2021-311905,Industrial Engineering Technician,548,Y
*,2021-311906,Environmental Engineering Technician,549,Y
*,2021-311910,Food Laboratory Analyst,550,Y
*,2021-312101,Mining Production Supervisor,551,Y
*,2021-312102,Miner,552,Y
*,2021-312103,Engineering Supervisor,553,Y
*,2021-312201,Production / Operations Supervisor (Manufacturing),554,Y
*,2021-312202,Maintenance Planner,555,Y
*,2021-312301,Building Associate,556,Y
*,2021-313102,Fossil Power Plant Process Controller,557,Y
*,2021-313103,Hydro Power Plant Process Controller,558,Y
*,2021-313104,Nuclear Power Plant Process Controller,559,Y
*,2021-313105,Wind Turbine Power Plant Process Controller,560,Y
*,2021-313106,Concentrated Solar Power (CSP) Plant Process Controller,561,Y
*,2021-313107,Geothermal Technicians,562,Y
*,2021-313108,Weatherisation Installers and Technicians,563,Y
*,2021-313109,Solar Photovoltaic Service Technician,564,Y
*,2021-313110,Wind Turbine Service Technician,565,Y
*,2021-313201,Water Plant Operator,566,Y
*,2021-313202,Waste Materials Plant Operator,567,Y
*,2021-313203,Water Process Controller,568,Y
*,2021-313301,Chemical Plant Controller,569,Y
*,2021-313401,Gas or Petroleum Controller,570,Y
*,2021-313501,Metal Manufacturing Process Control Technician,571,Y
*,2021-313901,Integrated Manufacturing Line Process Control Technician,572,Y
*,2021-313902,Wood Processing Control Technician,573,Y
*,2021-313903,"Clothing, Textile and Footwear Manufacturing Process Control Technician",574,Y
*,2021-313905,Cotton Ginning Process Controller,575,Y
*,2021-313906,Fresh Produce Packing Controller,576,Y
*,2021-313907,Food and Beverage Manufacturing Process Controller,577,Y
*,2021-313908,Sugar Process Controller,578,Y
*,2021-313909,Miller,579,Y
*,2021-313910,Juice Extraction Process Controller,580,Y
*,2021-313911,Grain Handling Controller,581,Y
*,2021-313912,Mineral Beneficiation Process Controller,582,Y
*,2021-313913,Chemical Waste Controller,583,Y
*,2021-313916,Manufacturing Production Technicians,584,Y
*,2021-313917,Pulp and Paper Manufacturing Process Control Technician,585,Y
*,2021-314101,Life Science Technician,586,Y
*,2021-314102,Environmental Science Technician,587,Y
*,2021-314201,Agricultural Technician,588,Y
*,2021-314301,Forestry Technician,589,Y
*,2021-314302,Forestry Research Technician,590,Y
*,2021-315101,Marine Engineer,591,Y
*,2021-315201,Ship's Master,592,Y
*,2021-315202,Ship's Officer,593,Y
*,2021-315203,Ship's Surveyor,594,Y
*,2021-315204,Marine Certification & Surveillance Manager,595,Y
*,2021-315205,Boat Driver / Coxswain,596,Y
*,2021-315206,Aids to Navigation Manager,597,Y
*,2021-315207,Aids to Navigation Technician,598,Y
*,2021-315301,Aircraft Navigator,599,Y
*,2021-315302,Flight Engineer,600,Y
*,2021-315303,Aeroplane Pilot,601,Y
*,2021-315304,Flying Instructor,602,Y
*,2021-315305,Helicopter Pilot,603,Y
*,2021-315306,Balloonist,604,Y
*,2021-315401,Traffic Controller,605,Y
